,1,2,3,4
V1,-889.334375638666,-1304.89839138318,-1302.41591653031,-1292.57086513289
V2,-1023.2527093888,-1276.00130249675,-1268.36671798223,-1265.91481228736
V3,-850.373575050619,-1289.23264295538,-1283.54849848133,-1281.6339881001
V4,-1010.37769054763,-1293.76141337448,-1282.48316353425,-1278.41495110367
V5,-1153.35739274325,-1450.31977530976,-1442.70631948522,-1434.97447250507
V6,-1024.24866329053,-1285.72757633905,-1275.12893019324,-1271.82615487553
V7,-1078.3292177769,-1337.93956516167,-1328.84698662985,-1325.7799490102
V8,-965.669158311198,-1264.12447546908,-1259.10827886478,-1257.90279660746
V9,-871.843703451427,-1342.57146798692,-1332.97286411416,-1339.05198690678
V10,-775.35986991397,-1252.6713535443,-1248.29776180301,-1234.31900907799
V11,-974.411799358042,-1249.56840174101,-1232.04709993437,-1220.56624866385
V12,-1063.14048866225,-1308.15232442407,-1300.15542982477,-1298.30708415593
V13,-1010.35444463942,-1267.58883528421,-1257.40235950577,-1246.5985717097
V14,-957.205726203891,-1212.94399170697,-1214.56673945389,-1206.24852090563
V15,-951.088499799067,-1269.82340173389,-1268.01755108936,-1261.84814724422
V16,-1170.55691134692,-1408.99303582303,-1403.5655262715,-1402.03847748829
V17,-1031.40991978101,-1272.95648728691,-1272.40777704832,-1267.41198363358
V18,-944.662326977652,-1219.01268207272,-1207.6459527461,-1202.112824514
V19,-1114.38173672191,-1383.28067745131,-1360.37248831345,-1345.90816578282
V20,-788.554377107869,-1261.18034744302,-1248.72117421414,-1242.51686948757
V21,-805.699281255073,-1366.46558336362,-1364.5678316929,-1357.92539126648
V22,-1114.22072771373,-1387.74679081243,-1383.78299383514,-1379.96897505636
V23,-1051.61859908457,-1332.73983969987,-1323.71015356533,-1318.03402134745
V24,-1117.02613605567,-1396.37426358474,-1392.22815010184,-1388.08031206434
V25,-1068.54043769094,-1334.82013441774,-1327.32619667016,-1326.57701027523
V26,-1051.38551671428,-1357.00518193941,-1341.32622251557,-1339.76312184299
V27,-695.482538821759,-1240.81726434702,-1232.69798849984,-1232.81871121327
V28,-1061.64702159495,-1317.82875620935,-1309.06077671138,-1315.22003119212
V29,-978.532768135672,-1277.24267106244,-1270.88173581056,-1267.95199751639
V30,-1009.75652714217,-1257.36083736206,-1241.2335940273,-1245.8063642166
V31,-1063.99477643437,-1321.79104072917,-1309.72396588764,-1306.70540858333
V32,-1015.01478735238,-1306.81890503488,-1302.49461399284,-1299.92750660825
V33,-1066.94516903511,-1347.8760902149,-1336.14817667643,-1322.35949554307
V34,-1018.95508722128,-1269.11271868746,-1264.33657485106,-1261.42519699926
V35,-1154.62884366418,-1406.62738909431,-1397.70157452944,-1396.0661300569
V36,-1018.66625922791,-1244.64814184021,-1241.06204344097,-1239.62476826629
V37,-782.346310778886,-1229.23572059153,-1225.88625567149,-1219.13957320258
V38,-906.537604292216,-1335.69538754081,-1334.44543073229,-1324.51775131466
V39,-1024.16769238798,-1316.49336006379,-1313.22220206437,-1310.42717272547
V40,-811.400975108698,-1346.42178391475,-1341.14796970837,-1340.23576910373
V41,-804.038122540767,-1292.77414236126,-1291.23065365116,-1286.5615230207
V42,-990.125084073973,-1241.94159141106,-1238.06368052493,-1231.08216925481
V43,-881.52560689922,-1436.14840007877,-1427.12406185822,-1426.31763319936
V44,-729.621352660795,-1433.8951078693,-1431.46430062475,-1427.55370075355
V45,-1041.65351617824,-1322.88105481168,-1318.91451019666,-1317.11741183872
V46,-834.281568762538,-1357.86629612696,-1352.35128891175,-1339.25756599744
V47,-823.264345269675,-1312.46577237152,-1305.26346512549,-1304.04230012443
V48,-1024.0720345338,-1351.56264911298,-1338.27702887963,-1338.63809916702
V49,-1059.797129851,-1293.24904187368,-1293.62249877201,-1285.1344473512
V50,-1047.75151200882,-1333.58047046692,-1333.18066020999,-1326.94558077312
