,1,2,3,4,5
V1,-794.587871387232,-1046.77821517079,-1503.38199863457,-1496.60145556391,-1488.47461527453
V2,-841.269077884009,-1158.57778230609,-1597.41955521826,-1593.70436690833,-1564.40735017518
V3,-785.92198661582,-1002.91987788284,-1577.77969833702,-1574.8105426422,-1559.01200406624
V4,-721.872926882822,-926.130627310641,-1466.55556472696,-1463.19093799834,-1454.22280803056
V5,-817.586069553207,-1198.85299281529,-1500.26031863698,-1490.33629026621,-1487.47310727167
V6,-720.006543972577,-1121.67944679363,-1449.4518916899,-1447.17452047627,-1442.07683408313
V7,-874.196171212385,-1275.8413310575,-1592.60597850263,-1589.5788929119,-1592.15068341386
V8,-815.838552219465,-1033.19453494694,-1448.34616957638,-1438.39546462101,-1432.48604867746
V9,-703.702338250474,-1266.41253101164,-1560.82186058283,-1557.81786226296,-1548.53969050752
V10,-815.908013515869,-1270.46315624373,-1501.90290807812,-1501.13496313857,-1498.71318140662
V11,-792.517510489536,-1165.6367459709,-1449.50398259773,-1445.48505238238,-1442.65081500793
V12,-737.112118958772,-1118.32390009435,-1365.85456901278,-1364.13450967361,-1360.35982344051
V13,-793.311158799268,-1140.98265569168,-1443.57863188545,-1438.88209293251,-1432.92437680799
V14,-848.360484245649,-1358.12852397184,-1603.99966922402,-1593.4864364637,-1585.9415364042
V15,-905.637537782248,-1076.16764830874,-1579.36828536422,-1571.93374924125,-1567.96169349821
V16,-778.721328320519,-1203.33544052589,-1428.44966221668,-1428.48821721021,-1415.86318644101
V17,-776.581350474264,-999.799482543738,-1491.86880221623,-1483.42419044222,-1476.66973102073
V18,-674.445766211557,-1281.98840164898,-1521.66056480835,-1527.34849059926,-1529.62841431425
V19,-834.447521134613,-1079.83345529696,-1520.10980986459,-1512.84113402181,-1507.18512455743
V20,-797.57823523225,-1204.14456031553,-1450.58785368702,-1446.28484751969,-1442.01212575705
V21,-812.975572746493,-1092.12657932053,-1556.92419693629,-1550.43105359433,-1554.86813308065
V22,-793.291517254975,-1201.87488856025,-1444.3765888631,-1443.35531653991,-1433.61661004668
V23,-798.236102851813,-1085.79571190136,-1560.93598413677,-1557.12435786253,-1556.52341941455
V24,-795.58895568206,-1238.16570228617,-1505.81246312769,-1499.18785578923,-1497.0234443787
V25,-780.51919372815,-1239.74934016467,-1567.66737585391,-1566.81320092645,-1559.98851742073
V26,-853.548737021894,-1330.07986431978,-1613.54147272476,-1609.59064592659,-1607.73851136673
V27,-802.244531640643,-1079.66706590119,-1507.76062285783,-1504.05439914832,-1501.74398376648
V28,-886.751957830219,-1139.7565967352,-1464.23860842874,-1459.60912350727,-1460.29181845935
V29,-841.917176220724,-1244.68582645759,-1501.80941081044,-1482.45871768157,-1475.79499113947
V30,-766.739679761251,-1161.67594790141,-1414.58197664008,-1410.03287660833,-1406.44438383961
V31,-822.823173262724,-1150.45754819991,-1575.17499874098,-1572.74932831603,-1569.02662050464
V32,-788.275175966021,-1198.74275078527,-1517.7418847026,-1516.06882682737,-1513.91442510334
V33,-867.469680473734,-1247.03845894744,-1511.92555031222,-1506.45429787146,-1502.49385726339
V34,-820.473483680989,-1278.16959174193,-1480.20727441827,-1477.99034228874,-1480.45770684597
V35,-740.417742790284,-1174.14649621362,-1386.98729618678,-1382.38410220503,-1379.83693016816
V36,-718.854475294347,-941.20948199017,-1374.59938886414,-1362.81164381363,-1366.77959941068
V37,-890.302011478349,-1205.09395449576,-1612.22501873974,-1608.14469708285,-1598.72398093598
V38,-678.905354499146,-980.649907437359,-1496.70059944589,-1486.92802266908,-1488.7599535041
V39,-786.605448148546,-1132.51108073199,-1510.47772345428,-1501.4118430828,-1505.38201133054
V40,-891.008879269812,-1262.9666230508,-1534.43496923253,-1531.03628762467,-1521.3835454148
V41,-851.477799085784,-1013.68562354113,-1535.84623528137,-1529.52356999967,-1521.89289303567
V42,-889.626586049828,-1347.52192171324,-1603.89004921481,-1592.55783724245,-1600.6094954009
V43,-834.470306891384,-1223.34104696242,-1557.76422861274,-1549.41794140445,-1539.01438451361
V44,-838.414457987723,-1215.94260717122,-1527.70400628788,-1522.91303563778,-1527.27113387255
V45,-872.814269944529,-1230.86614466001,-1532.94727879302,-1523.39280401534,-1523.68014648763
V46,-847.374862392587,-1255.58878620107,-1586.60462143231,-1573.65309031823,-1579.01677033128
V47,-833.30066056463,-1184.93603469824,-1458.2675447412,-1446.46796532542,-1444.84872518173
V48,-912.319578134713,-1353.72660585097,-1640.20286171281,-1630.13364867882,-1631.5404094347
V49,-837.844062737901,-1224.19874097563,-1465.00276825759,-1464.61396199537,-1457.79561183095
V50,-854.858391907921,-1283.68867485477,-1556.08842369374,-1561.26445845871,-1546.60516481372
